genome_refseq_accession,protein_name,protein_refseq_accession
GCF_016699485.2,FXN,XP_046761599.1
GCF_000090745.2,FXN,XP_003216595.3
GCF_000004195.4,FXN,KAE8632932.1
GCF_014176215.1,FXN,XP_036073730.1
GCF_000004195.4,FXN,KAE8632933.1
GCF_014176215.1,FXN,XP_036073731.1
GCF_014176215.1,FXN,KAF6484568.1
GCF_000004195.4,FXN,XP_002934226.1
GCF_014176215.1,FXN,XP_036073732.1
GCF_014176215.1,FXN,KAF6484567.1
GCF_009762305.2,FXN,XP_027472507.1
GCF_000004195.4,FXN,XP_017944800.1
GCF_000004195.4,FXN,XP_017944801.1
GCF_000004195.4,FXN,XP_017944796.1
GCF_014570535.1,FXN,XP_036847098.1
GCF_001858045.2,FXN,XP_003437575.1
GCF_028641065.1,FXN,XP_055488478.1
GCF_027744805.1,FXN,XP_054628786.1
GCF_900408965.1,FXN,XP_039902468.1
GCF_900408965.1,FXN,XP_039902469.1
GCF_019393635.1,FXN,XP_043854002.1
GCF_902827165.1,FXN,XP_033974133.1
GCF_021288785.2,FXN,XP_045742212.1
GCF_010993605.1,FXN,XP_032831828.1
GCF_010993605.1,FXN,XP_032831829.1
GCF_010993605.1,FXN,XP_032831827.1
GCF_021288785.2,FXN,XP_045738174.1
GCF_021288785.2,FXN,XP_045738176.1
GCF_000090745.2,FXN,XP_008101517.2
GCF_000955945.1,GLS,XP_011902697.1
GCF_018350175.1,GLS,XP_023115326.2
GCF_023159225.1,GLS,XP_048201027.1
GCF_015220235.1,GLS,XP_037704414.1
GCF_011764305.1,GLS,XP_044942447.1
GCF_023065955.2,GLS,XP_026348091.1
GCF_009762305.2,GLS,XP_027444730.1
GCF_000003025.6,GLS,XP_020931708.1
GCF_014176215.1,GLS,XP_016017079.1
GCF_002863925.1,GLS,XP_023478004.1
GCF_021288785.2,GLS,XP_045724282.1
GCF_001890085.2,GLS,XP_019517891.1
GCF_006547405.1,GLS,XP_030703592.1
GCF_020740685.1,GLS,XP_045003832.1
GCF_000001635.27,GLS,NP_001074550.1
GCF_002204375.1,GLS,XP_021498712.1
GCF_000622305.1,GLS,XP_008833835.1
GCF_014570535.1,GLS,XP_036865025.1
GCF_017639785.1,GLS,XP_021091235.1
GCF_000955945.1,GLS,XP_011902700.1
GCF_000001635.27,GLS,EDK99969.1
GCF_027595985.1,GLS,XP_054978768.1
GCF_002099425.1,GLS,XP_020849244.1
GCF_014176215.1,GLS,KAF6495029.1
GCF_011100685.1,GLS,XP_038303347.1
GCF_011100685.1,GLS,XP_545570.3
GCF_027887165.1,GLS,XP_016289236.1
GCF_019393635.1,GLS,XP_043853025.1
GCF_902635505.1,GLS,XP_031816156.1
GCF_907164565.1,GLS,XP_055472780.1
GCF_011100635.1,GLS,XP_036600112.1
GCF_000151735.1,GLS,XP_023416851.1
GCF_018350175.1,GLS,XP_044890085.1
GCF_014108235.1,GLS,XP_036174855.1
GCF_001890085.2,GLS,XP_019517892.1
GCF_000247695.1,GLS,XP_004869019.1
GCF_000955945.1,GLS,XP_011902701.1
GCF_004329235.1,GLS,XP_028606430.1
GCF_016699485.2,GLS,NP_001382927.1
GCF_005870125.1,GLS,XP_021387054.2
GCF_005870125.1,GLS,OWK55343.1
GCF_015852505.1,GLS,XP_038605342.1
GCF_016699485.2,GLS,XP_015144876.1
GCF_000247695.1,GLS,EHB08417.1
GCF_000090745.2,GLS,XP_003217476.3
GCF_004115215.2,GLS,XP_028925785.1
GCF_018350175.1,GLS,XP_023115327.2
GCF_018350175.1,GLS,XP_023115328.2
GCF_023065955.2,GLS,XP_026348092.1
GCF_011764305.1,GLS,XP_044942448.1
GCF_023159225.1,GLS,XP_048201029.1
GCF_023065955.2,GLS,XP_026348093.1
GCF_023159225.1,GLS,XP_048201030.1
GCF_001890085.2,GLS,XP_019517893.1
GCF_011764305.1,GLS,XP_044942449.1
GCF_009762305.2,GLS,XP_027444731.1
GCF_000003025.6,GLS,XP_020931710.1
GCF_014176215.1,GLS,XP_016017089.1
GCF_021288785.2,GLS,XP_045724283.1
GCF_002863925.1,GLS,XP_023478005.1
GCF_000003025.6,GLS,XP_020931711.1
GCF_021288785.2,GLS,XP_045724284.1
GCF_014176215.1,GLS,XP_016017099.1
GCF_000004195.4,GLS,XP_031748806.1
GCF_015220235.1,GLS,XP_037704415.1
GCF_000001635.27,GLS,NP_001106854.1
GCF_000001635.27,GLS,BAD32317.1
GCF_000001635.27,GLS,XP_006495764.1
GCF_020740685.1,GLS,XP_045003834.1
GCF_016699485.2,GLS,CAG32337.1
GCF_000004195.4,GLS,XP_031748805.1
GCF_000622305.1,GLS,XP_008833836.1
GCF_002204375.1,GLS,XP_021498713.1
GCF_014570535.1,GLS,XP_017525070.1
GCF_002204375.1,GLS,XP_021498714.1
GCF_017639785.1,GLS,XP_021091236.1
GCF_017639785.1,GLS,XP_040609597.1
GCF_006547405.1,GLS,XP_030703593.1
GCF_014108235.1,GLS,KAF6336604.1
GCF_006547405.1,GLS,XP_030703594.1
GCF_027595985.1,GLS,XP_054978769.1
GCF_002099425.1,GLS,XP_020849247.1
GCF_002099425.1,GLS,XP_020849245.1
GCF_002099425.1,GLS,XP_020849248.1
GCF_002099425.1,GLS,XP_020849246.1
GCF_011100685.1,GLS,XP_038303348.1
GCF_019393635.1,GLS,XP_043853026.1
GCF_900408965.1,GLS,XP_039907429.1
GCF_028641065.1,GLS,XP_055493750.1
GCF_028641065.1,GLS,XP_055493749.1
GCF_001858045.2,GLS,XP_025758602.1
GCF_011764305.1,GLS,CAI5638425.1
GCF_902635505.1,GLS,XP_031816157.1
GCF_014108235.1,GLS,KAF6336605.1
GCF_902635505.1,GLS,XP_031816158.1
GCF_900408965.1,GLS,XP_039907430.1
GCF_001858045.2,GLS,XP_025758603.1
GCF_001858045.2,GLS,XP_005452370.1
GCF_011764305.1,GLS,CAI5638426.1
GCF_011100635.1,GLS,XP_036600113.1
GCF_000004195.4,GLS,KAE8580062.1
GCF_027744805.1,GLS,XP_054625548.1
GCF_027744805.1,GLS,XP_054625599.1
GCF_027744805.1,GLS,XP_054625688.1
GCF_902827165.1,GLS,XP_034006944.1
GCF_902827165.1,GLS,XP_034006945.1
GCF_900408965.1,GLS,XP_039883431.1
GCF_001858045.2,GLS,XP_003458407.1
GCF_011764305.1,GLS,CAI5656672.1
GCF_001858045.2,GLS,XP_005463408.1
GCF_027744805.1,GLS,XP_054644285.1
GCF_902827165.1,GLS,XP_033990560.1
GCF_000247695.1,GLS,XP_021103379.1
GCF_000955945.1,GLS,XP_011902702.1
GCF_000001635.27,GLS,XP_006495765.1
GCF_000004195.4,GLS,KAE8580064.1
GCF_011764305.1,GLS,CAI5656673.1
GCF_004329235.1,GLS,XP_028606441.1
GCF_000001635.27,GLS,3SS3_A
GCF_016699485.2,GLS,XP_046777243.1
GCF_027744805.1,GLS,XP_054625778.1
GCF_015852505.1,GLS,XP_038605343.1
GCF_000090745.2,GLS,XP_016846958.1
GCF_015852505.1,GLS,XP_038605344.1
GCF_000090745.2,GLS,XP_016846957.1
GCF_010993605.1,GLS,XP_032814999.1
GCF_016699485.2,GLS,XP_015144877.1
GCF_902827165.1,GLS,XP_034006946.1
GCF_004115215.2,GLS,XP_028925786.1
GCF_028641065.1,GLS,XP_055520401.1
GCF_004115215.2,GLS,XP_028925788.1
GCF_011100685.1,GLS,XP_005625567.1
GCF_011100685.1,GLS,XP_003431516.1
GCF_011100685.1,GLS,XP_005625566.1
GCF_011100685.1,GLS,XP_005625565.1
GCF_011100635.1,GLS,XP_036615205.1
GCF_011100685.1,GLS,XP_005625569.1
GCF_018350175.1,GLS,XP_003988945.1
GCF_018350175.1,GLS,XP_011282406.1
GCF_011764305.1,GLS,XP_044927786.1
GCF_009762305.2,GLS,XP_027448936.1
GCF_011764305.1,GLS,XP_004773196.1
GCF_021288785.2,GLS,XP_045729133.1
GCF_902635505.1,GLS,XP_003770941.1
GCF_000003025.6,GLS,XP_003481677.1
GCF_011764305.1,GLS,XP_012901589.1
GCF_011100635.1,GLS,XP_036615203.1
GCF_019393635.1,GLS,XP_043825338.1
GCF_011764305.1,GLS,XP_012901590.2
GCF_000003025.6,GLS,XP_020948548.1
GCF_014570535.1,GLS,XP_017507440.1
GCF_002863925.1,GLS,XP_023499563.1
GCF_002863925.1,GLS,XP_001504896.3
GCF_011100635.1,GLS,XP_036615206.1
GCF_902635505.1,GLS,XP_012405910.1
GCF_000001635.27,GLS,5W2J_A
GCF_020740685.1,GLS,XP_004650044.1
GCF_014176215.1,GLS,XP_036091808.1
GCF_000955945.1,GLS,XP_011918827.1
GCF_015220235.1,GLS,XP_037703120.1
GCF_010993605.1,GLS,XP_032806945.1
GCF_019393635.1,GLS,XP_043825339.1
GCF_002204375.1,GLS,XP_021493388.1
GCF_023159225.1,GLS,XP_048217529.1
GCF_000955945.1,GLS,XP_011918831.1
GCF_004115215.2,GLS,XP_028929666.1
GCF_017639785.1,GLS,XP_005079788.1
GCF_014176215.1,GLS,XP_036091806.1
GCF_000622305.1,GLS,XP_008826619.1
GCF_006547405.1,GLS,XP_030722460.1
GCF_006547405.1,GLS,XP_030722462.1
GCF_907164565.1,GLS,XP_055481281.1
GCF_002099425.1,GLS,XP_020845719.1
GCF_023159225.1,GLS,XP_048217540.1
GCF_015220235.1,GLS,XP_037703121.1
GCF_014176215.1,GLS,KAF6495949.1
GCF_004115215.2,GLS,XP_028929665.1
GCF_000001635.27,GLS,NP_001028436.2
GCF_000001635.27,GLS,AAI41116.1
GCF_002204375.1,GLS,XP_021493390.1
GCF_000247695.1,GLS,XP_004861347.1
GCF_907164565.1,GLS,XP_055481280.1
GCF_000001635.27,GLS,BAD90156.1
GCF_027887165.1,GLS,XP_007503008.1
GCF_027595985.1,GLS,XP_004601671.1
GCF_027887165.1,GLS,XP_007503009.1
GCF_027595985.1,GLS,XP_054983077.1
GCF_000622305.1,GLS,XP_008826621.1
GCF_002204375.1,GLS,XP_021493389.1
GCF_000247695.1,GLS,XP_004861348.1
GCF_000001635.27,GLS,BAE38445.1
GCF_014570535.1,GLS,XP_036880066.1
GCF_000003025.6,GLS,XP_005663944.1
GCF_003426925.1,GLS,XP_026254141.1
GCF_000003025.6,GLS,XP_005663945.1
GCF_000003025.6,GLS,XP_020948549.1
GCF_002099425.1,GLS,XP_020845722.1
GCF_000004195.4,GLS,XP_031748808.1
GCF_003426925.1,GLS,XP_026254143.1
GCF_014570535.1,GLS,XP_036880076.1
GCF_003426925.1,GLS,XP_026254140.1
GCF_000004195.4,GLS,XP_031748807.1
GCF_027744805.1,GLS,XP_054625264.1
GCF_900408965.1,GLS,XP_039864001.1
GCF_000247695.1,GLS,EHB06531.1
GCF_001858045.2,GLS,XP_003438851.1
GCF_000004195.4,GLS,XP_002934555.2
GCF_900408965.1,GLS,XP_039864000.1
GCF_902827165.1,GLS,XP_033982452.1
GCF_011764305.1,GLS,CAI5686814.1
GCF_011764305.1,GLS,CAI5686816.1
GCF_011764305.1,GLS,CAI5686815.1
GCF_004329235.1,GLS,XP_028566047.1
GCF_014176215.1,GLS,KAF6495950.1
GCF_001858045.2,GLS,XP_003456162.2
GCF_000004195.4,GLS,XP_004911949.1
GCF_004329235.1,GLS,XP_028566064.1
GCF_001858045.2,GLS,XP_025762872.1
GCF_001858045.2,GLS,XP_005460872.1
GCF_900408965.1,GLS,XP_039863405.1
GCF_001858045.2,GLS,XP_005460871.1
GCF_014108235.1,GLS,KAF6369315.1
GCF_004329235.1,GLS,XP_028566081.1
GCF_900408965.1,GLS,XP_039863415.1
GCF_000090745.2,GLS,XP_008102196.1
GCF_004329235.1,GLS,XP_028566055.1
GCF_015852505.1,GLS,XP_038608779.1
GCF_902827165.1,GLS,XP_033995417.1
GCF_000003025.6,GLS,AAM08402.1
GCF_028641065.1,GLS,XP_055493751.1
GCF_014176215.1,GLS,KAF6495953.1
GCF_000247695.1,GLS,XP_021097046.1
GCF_014570535.1,GLS,XP_036880071.1
GCF_014108235.1,GLS,KAF6336608.1
GCF_900408965.1,GLS,XP_039883433.1
GCF_002099425.1,GLS,XP_020845723.1
GCF_900408965.1,GLS,XP_039883432.1
GCF_011764305.1,GLS,CAI5686817.1
GCF_001858045.2,GLS,XP_005463410.1
GCF_902827165.1,GLS,XP_033990561.1
GCF_001858045.2,GLS,XP_025762873.1
GCF_014108235.1,GLS,KAF6369314.1
GCF_015852505.1,GLS,XP_038608781.1
GCF_000151735.1,GLS,XP_023423475.1
GCF_027744805.1,GLS,XP_054644289.1
GCF_027744805.1,GLS,XP_054644286.1
GCF_019393635.1,GLS,XP_043825343.1
GCF_015852505.1,GLS,XP_038608780.1
GCF_001858045.2,GLS,XP_005463409.1
GCF_019393635.1,GLS,XP_043825340.1
GCF_019393635.1,GLS,XP_043825342.1
GCF_003426925.1,GLS,XP_026254142.1
GCF_027744805.1,GLS,XP_054644290.1
GCF_000004195.4,GLS,KAE8626537.1
GCF_000004195.4,GLS,XP_012813272.1
GCF_001890085.2,GLS,XP_019524544.1
GCF_014570535.1,GLS,XP_036880130.1
GCF_014176215.1,GLS,KAF6495031.1
GCF_014570535.1,GLS,XP_036880114.1
GCF_000004195.4,GLS,KAE8580065.1
GCF_000247695.1,GLS,XP_012933753.1
GCF_900408965.1,GLS,XP_039883435.1
GCF_000004195.4,GLS,XP_012813273.1
GCF_018350175.1,GLS,XP_019690652.1
GCF_004329235.1,GLS,XP_028566072.1
GCF_014570535.1,GLS,XP_036880121.1
GCF_000001635.27,GLS,EDL24545.1
GCF_000001635.27,GLS,NP_001272706.1
GCF_000001635.27,GLS,XP_006495767.1
GCF_027744805.1,GLS,XP_054632876.1
GCF_018350175.1,RAPGEF2,XP_023108485.1
GCF_002863925.1,RAPGEF2,XP_023492139.1
GCF_009762305.2,RAPGEF2,XP_027453686.1
GCF_023065955.2,RAPGEF2,XP_026355362.2
GCF_018350175.1,RAPGEF2,XP_023108484.1
GCF_015220235.1,RAPGEF2,XP_037686852.1
GCF_002863925.1,RAPGEF2,XP_023492138.1
GCF_014108235.1,RAPGEF2,XP_036170701.1
GCF_018350175.1,RAPGEF2,XP_011279895.1
GCF_002863925.1,RAPGEF2,XP_005607848.1
GCF_009762305.2,RAPGEF2,XP_027453684.1
GCF_002863925.1,RAPGEF2,XP_014593417.1
GCF_023065955.2,RAPGEF2,XP_026355360.2
GCF_009762305.2,RAPGEF2,XP_027453683.1
GCF_023065955.2,RAPGEF2,XP_026355361.2
GCF_015220235.1,RAPGEF2,XP_037686851.1
GCF_015220235.1,RAPGEF2,XP_037686850.1
GCF_009762305.2,RAPGEF2,XP_027453681.1
GCF_009762305.2,RAPGEF2,XP_027453687.1
GCF_023065955.2,RAPGEF2,XP_026355358.2
GCF_023065955.2,RAPGEF2,XP_026355363.2
GCF_001890085.2,RAPGEF2,XP_019523048.1
GCF_015220235.1,RAPGEF2,XP_037686845.1
GCF_014108235.1,RAPGEF2,XP_036170697.1
GCF_009762305.2,RAPGEF2,XP_027453680.1
GCF_015220235.1,RAPGEF2,XP_037686855.1
GCF_023065955.2,RAPGEF2,XP_026355357.2
GCF_015220235.1,RAPGEF2,XP_037686849.1
GCF_002863925.1,RAPGEF2,XP_023492135.1
GCF_011764305.1,RAPGEF2,XP_012903730.2
GCF_014108235.1,RAPGEF2,XP_036170703.1
GCF_014108235.1,RAPGEF2,XP_036170694.1
GCF_011764305.1,RAPGEF2,XP_012903728.2
GCF_015220235.1,RAPGEF2,XP_037686856.1
GCF_001890085.2,RAPGEF2,XP_019523047.1
GCF_015220235.1,RAPGEF2,XP_037686844.1
GCF_009762305.2,RAPGEF2,XP_027453685.1
GCF_023065955.2,RAPGEF2,XP_044240337.2
GCF_011764305.1,RAPGEF2,XP_012903732.2
GCF_018350175.1,RAPGEF2,XP_044911658.1
GCF_001890085.2,RAPGEF2,XP_019523049.1
GCF_001890085.2,RAPGEF2,XP_019523044.1
GCF_015220235.1,RAPGEF2,XP_037686854.1
GCF_027595985.1,RAPGEF2,XP_055000295.1
GCF_002863925.1,RAPGEF2,XP_023492133.1
GCF_011764305.1,RAPGEF2,XP_012903727.2
GCF_001890085.2,RAPGEF2,XP_019523051.1
GCF_018350175.1,RAPGEF2,XP_044911657.1
GCF_023065955.2,RAPGEF2,XP_048068114.1
GCF_014108235.1,RAPGEF2,KAF6349901.1
GCF_015220235.1,RAPGEF2,XP_037686848.1
GCF_011764305.1,RAPGEF2,XP_012903729.2
GCF_015220235.1,RAPGEF2,XP_037686846.1
GCF_011764305.1,RAPGEF2,XP_012903731.2
GCF_027595985.1,RAPGEF2,XP_055000299.1
GCF_018350175.1,RAPGEF2,XP_044911654.1
GCF_018350175.1,RAPGEF2,XP_044911659.1
GCF_015220235.1,RAPGEF2,XP_037686847.1
GCF_014570535.1,RAPGEF2,XP_036848830.1
GCF_027595985.1,RAPGEF2,XP_055000296.1
GCF_011100635.1,RAPGEF2,XP_036618168.1
GCF_902635505.1,RAPGEF2,XP_023361663.1
GCF_014570535.1,RAPGEF2,XP_036848828.1
GCF_002099425.1,RAPGEF2,XP_020825359.1
GCF_019393635.1,RAPGEF2,XP_043826218.1
GCF_003426925.1,RAPGEF2,XP_026251744.1
GCF_027887165.1,RAPGEF2,XP_056658802.1
GCF_018350175.1,RAPGEF2,XP_044911655.1
GCF_902635505.1,RAPGEF2,XP_023361662.1
GCF_018350175.1,RAPGEF2,XP_044911660.1
GCF_014570535.1,RAPGEF2,XP_036848831.1
GCF_018350175.1,RAPGEF2,XP_044911656.1
GCF_011100635.1,RAPGEF2,XP_036618167.1
GCF_902635505.1,RAPGEF2,XP_023361664.1
GCF_019393635.1,RAPGEF2,XP_043826217.1
GCF_014570535.1,RAPGEF2,XP_036848832.1
GCF_902635505.1,RAPGEF2,XP_023361660.1
GCF_002099425.1,RAPGEF2,XP_020825358.1
GCF_011100635.1,RAPGEF2,XP_036618169.1
GCF_027887165.1,RAPGEF2,XP_056658800.1
GCF_002099425.1,RAPGEF2,XP_020825355.1
GCF_014570535.1,RAPGEF2,KAI5940874.1
GCF_002099425.1,RAPGEF2,XP_020825360.1
GCF_019393635.1,RAPGEF2,XP_043826220.1
GCF_000622305.1,RAPGEF2,XP_008852549.1
GCF_027887165.1,RAPGEF2,XP_056658803.1
GCF_027887165.1,RAPGEF2,XP_056658796.1
GCF_023159225.1,RAPGEF2,XP_048220209.1
GCF_002099425.1,RAPGEF2,XP_020825361.1
GCF_014570535.1,RAPGEF2,XP_036848829.1
GCF_015220235.1,RAPGEF2,XP_037686857.1
GCF_014570535.1,RAPGEF2,XP_036848827.1
GCF_902635505.1,RAPGEF2,XP_023361661.1
GCF_000622305.1,RAPGEF2,XP_029412577.1
GCF_027887165.1,RAPGEF2,XP_056658801.1
GCF_902635505.1,RAPGEF2,XP_012407594.1
GCF_002099425.1,RAPGEF2,XP_020825356.1
GCF_000622305.1,RAPGEF2,XP_017659007.1
GCF_000622305.1,RAPGEF2,XP_008852550.1
GCF_002099425.1,RAPGEF2,XP_020825357.1
GCF_027887165.1,RAPGEF2,XP_056658797.1
GCF_000622305.1,RAPGEF2,XP_017659010.1
GCF_027887165.1,RAPGEF2,XP_056658798.1
GCF_000622305.1,RAPGEF2,XP_017659008.1
GCF_000622305.1,RAPGEF2,XP_017659009.1
GCF_027887165.1,RAPGEF2,XP_056658799.1
GCF_015852505.1,RAPGEF2,XP_038610853.1
GCF_015852505.1,RAPGEF2,XP_038610854.1
GCF_015852505.1,RAPGEF2,XP_038610855.1
GCF_002863925.1,RAPGEF2,XP_014593413.1
GCF_002863925.1,RAPGEF2,XP_023492134.1
GCF_009762305.2,RAPGEF2,XP_027453677.1
GCF_023065955.2,RAPGEF2,XP_026355353.2
GCF_002863925.1,RAPGEF2,XP_014593418.1
GCF_009762305.2,RAPGEF2,XP_027453682.1
GCF_023065955.2,RAPGEF2,XP_026355359.2
GCF_014108235.1,RAPGEF2,XP_036170695.1
GCF_002863925.1,RAPGEF2,XP_014593414.1
GCF_009762305.2,RAPGEF2,XP_027453678.1
GCF_011764305.1,RAPGEF2,XP_012903724.2
GCF_023065955.2,RAPGEF2,XP_026355354.2
GCF_014108235.1,RAPGEF2,XP_036170696.1
GCF_002863925.1,RAPGEF2,XP_023492131.1
GCF_027887165.1,RAPGEF2,XP_056658804.1
GCF_014570535.1,RAPGEF2,XP_036848824.1
GCF_001890085.2,RAPGEF2,XP_019523045.1
GCF_011764305.1,RAPGEF2,XP_012903725.2
GCF_000955945.1,RAPGEF2,XP_011941914.1
GCF_023065955.2,RAPGEF2,XP_026355356.2
GCF_009762305.2,RAPGEF2,XP_027453679.1
GCF_001890085.2,RAPGEF2,XP_019523046.1
GCF_004115215.2,RAPGEF2,XP_016084053.2
GCF_000955945.1,RAPGEF2,XP_011941913.1
GCF_018350175.1,RAPGEF2,XP_019684327.1
GCF_011764305.1,RAPGEF2,XP_012903726.2
GCF_014570535.1,RAPGEF2,XP_036848825.1
GCF_023065955.2,RAPGEF2,XP_048068118.1
GCF_002863925.1,RAPGEF2,XP_023492132.1
GCF_014570535.1,RAPGEF2,XP_036848826.1
GCF_011100635.1,RAPGEF2,XP_036618164.1
GCF_004115215.2,RAPGEF2,XP_016084054.2
GCF_014108235.1,RAPGEF2,XP_036170702.1
GCF_004115215.2,RAPGEF2,XP_016084055.2
GCF_019393635.1,RAPGEF2,XP_043826215.1
GCF_000001635.27,RAPGEF2,XP_011238578.1
GCF_011100635.1,RAPGEF2,XP_036618165.1
GCF_014108235.1,RAPGEF2,XP_036170699.1
GCF_907164565.1,RAPGEF2,XP_055452524.1
GCF_011100635.1,RAPGEF2,XP_036618166.1
GCF_020740685.1,RAPGEF2,XP_044987833.1
GCF_907164565.1,RAPGEF2,XP_055452521.1
GCF_019393635.1,RAPGEF2,XP_043826216.1
GCF_014108235.1,RAPGEF2,KAF6349902.1
GCF_014108235.1,RAPGEF2,XP_036170704.1
GCF_018350175.1,RAPGEF2,XP_019684328.1
GCF_014108235.1,RAPGEF2,XP_036170700.1
GCF_000001635.27,RAPGEF2,XP_006502313.1
GCF_017639785.1,RAPGEF2,XP_012973238.1
GCF_015852505.1,RAPGEF2,XP_038610857.1
GCF_000001635.27,RAPGEF2,XP_011238579.1
GCF_023159225.1,RAPGEF2,XP_048220207.1
GCF_018350175.1,RAPGEF2,XP_044911661.1
GCF_020740685.1,RAPGEF2,XP_044987835.1
GCF_023159225.1,RAPGEF2,XP_048220203.1
GCF_023159225.1,RAPGEF2,XP_048220206.1
GCF_907164565.1,RAPGEF2,XP_055452522.1
GCF_020740685.1,RAPGEF2,XP_044987836.1
GCF_014176215.1,RAPGEF2,XP_036089888.1
GCF_907164565.1,RAPGEF2,XP_055452523.1
GCF_023159225.1,RAPGEF2,XP_048220210.1
GCF_017639785.1,RAPGEF2,XP_012973239.1
GCF_015852505.1,RAPGEF2,XP_038610856.1
GCF_015852505.1,RAPGEF2,XP_038610858.1
GCF_023159225.1,RAPGEF2,XP_048220208.1
GCF_017639785.1,RAPGEF2,XP_012973240.1
GCF_023159225.1,RAPGEF2,XP_048220205.1
GCF_023159225.1,RAPGEF2,XP_048220200.1
GCF_023065955.2,RAPGEF2,XP_048068119.1
GCF_015852505.1,RAPGEF2,XP_038610859.1
GCF_016699485.2,RAPGEF2,XP_004940966.3
GCF_016699485.2,RAPGEF2,XP_040526640.1
GCF_014176215.1,RAPGEF2,XP_036089890.1
GCF_014176215.1,RAPGEF2,XP_036089884.1
GCF_014176215.1,RAPGEF2,XP_036089887.1
GCF_004329235.1,RAPGEF2,XP_028598861.1
GCF_023159225.1,RAPGEF2,XP_048220202.1
GCF_005870125.1,RAPGEF2,XP_021392232.1
GCF_016699485.2,RAPGEF2,XP_420387.6
GCF_016699485.2,RAPGEF2,XP_040555635.1
GCF_016699485.2,RAPGEF2,XP_040526641.1
GCF_016699485.2,RAPGEF2,XP_040526642.1
GCF_023159225.1,RAPGEF2,XP_048220204.1
GCF_014176215.1,RAPGEF2,XP_036089885.1
GCF_907164565.1,RAPGEF2,XP_055452525.1
GCF_016699485.2,RAPGEF2,XP_040555636.1
GCF_016699485.2,RAPGEF2,XP_040526643.1
GCF_014176215.1,RAPGEF2,KAF6402263.1
GCF_005870125.1,RAPGEF2,XP_021392233.1
GCF_004329235.1,RAPGEF2,XP_028598862.1
GCF_014176215.1,RAPGEF2,XP_036089886.1
GCF_004329235.1,RAPGEF2,XP_028598863.1
GCF_005870125.1,RAPGEF2,XP_021392234.1
GCF_004115215.2,RAPGEF2,XP_016084057.2
GCF_002863925.1,RAPGEF2,XP_023492136.1
GCF_017639785.1,RAPGEF2,XP_040608559.1
GCF_016699485.2,RAPGEF2,XP_040555639.1
GCF_902635505.1,RAPGEF2,XP_031798194.1
GCF_016699485.2,RAPGEF2,XP_040526646.1
GCF_016699485.2,RAPGEF2,XP_040555638.1
GCF_016699485.2,RAPGEF2,XP_040526645.1
GCF_016699485.2,RAPGEF2,XP_040555637.1
GCF_002099425.1,RAPGEF2,XP_020825362.1
GCF_016699485.2,RAPGEF2,XP_040526644.1
GCF_000247695.1,RAPGEF2,XP_004868625.1
GCF_006547405.1,RAPGEF2,XP_030721585.1
GCF_907164565.1,RAPGEF2,XP_055452526.1
