LOC118853631	XP_036619699.1
LOC118834131	XP_036597462.1
LOC118834131	XP_036597463.1
LOC118833841	XP_036597148.1
LOC118842716	XP_036605990.1
LOC118834937	XP_036598268.1
LOC118834937	XP_036598267.1
LOC118834937	XP_036598269.1
LOC118839311	XP_036602667.1
LOC118834833	XP_036598169.1
LOC118833888	XP_036597200.1
LOC118854400	XP_036620654.1
LOC118854416	XP_036620675.1
LOC118854434	XP_036620714.1
LOC118854434	XP_036620691.1
LOC118854434	XP_036620706.1
LOC118854434	XP_036620698.1
LOC118854502	XP_036620777.1
LOC118854540	XP_036620803.1
LOC118854478	XP_036620741.1
LOC118854478	XP_036620750.1
LOC118854493	XP_036620758.1
LOC118833941	XP_036597271.1
LOC118854469	XP_036620730.1
LOC118854523	XP_036620787.1
LOC118854523	XP_036620793.1
LOC118834912	XP_036598247.1
LOC118834912	XP_036598246.1
LOC118846112	XP_036610228.1
LOC118846112	XP_036610218.1
LOC118846150	XP_036610304.1
LOC118846150	XP_036610292.1
LOC118846150	XP_036610322.1
LOC118846150	XP_036610315.1
LOC118846150	XP_036610331.1
LOC118846123	XP_036610268.1
LOC118846123	XP_036610261.1
LOC118846123	XP_036610254.1
LOC118846142	XP_036610281.1
LOC118834117	
LOC118834132	
LOC118834141	
LOC118834157	
LOC118834185	
LOC118834193	
LOC118834200	XP_036597541.1
LOC118834239	XP_036597602.1
LOC118834251	XP_036597615.1
LOC118842785	XP_036606018.1
LOC118842785	XP_036606021.1
LOC118834280	XP_036597637.1
LOC118834302	XP_036597653.1
LOC118834305	XP_036597655.1
LOC118849836	XP_036614766.1
LOC118849829	XP_036614756.1
LOC118834910	XP_036598244.1
LOC118834910	XP_036598243.1
LOC118834329	XP_036597673.1
LOC118834347	XP_036597697.1
LOC118834375	XP_036597729.1
LOC118843396	XP_036606960.1
LOC118831884	XP_036595252.1
LOC118831893	XP_036595264.1
LOC118843485	XP_036607070.1
LOC118843565	XP_036607189.1
LOC118852672	XP_036618232.1
LOC118843643	XP_036607304.1
LOC118843728	XP_036607405.1
LOC118843904	XP_036607624.1
LOC118834951	XP_036598280.1
LOC118855490	XP_036621492.1
LOC118855483	XP_036621480.1
LOC118844086	XP_036607835.1
LOC118840783	XP_036604209.1
LOC118840783	XP_036604063.1
LOC118840783	XP_036604135.1
LOC118854873	XP_036620967.1
LOC118844262	XP_036608043.1
LOC118828571	XP_036591175.1
LOC118844351	XP_036608146.1
LOC118833480	XP_036596728.1
LOC118833480	XP_036596729.1
LOC118844435	
LOC118844523	
LOC118833482	XP_036596731.1
LOC118844608	XP_036608468.1
LOC118833481	XP_036596730.1
LOC118844695	XP_036608576.1
LOC118844775	
LOC118833478	XP_036596727.1
LOC118833477	XP_036596726.1
LOC118833486	XP_036596739.1
LOC118833484	XP_036596732.1
LOC118833484	XP_036596733.1
LOC118845040	XP_036608995.1
LOC118833485	XP_036596734.1
LOC118833485	XP_036596737.1
LOC118833485	XP_036596736.1
LOC118833485	XP_036596738.1
LOC118834860	XP_036598194.1
LOC118834860	XP_036598195.1
LOC118834860	XP_036598196.1
LOC118834861	XP_036598198.1
LOC118845142	XP_036609049.1
LOC118831809	XP_036595153.1
LOC118845288	XP_036609106.1
LOC118845378	XP_036609204.1
LOC118845461	XP_036609307.1
LOC118853821	XP_036619945.1
LOC118853821	XP_036619936.1
LOC118853859	XP_036619990.1
LOC118853842	XP_036619967.1
LOC118845545	XP_036609424.1
LOC118853850	XP_036619979.1
LOC118853833	XP_036619956.1
LOC118845789	XP_036609749.1
LOC118845862	XP_036609868.1
LOC118845933	XP_036609959.1
LOC118853808	XP_036619914.1
LOC118853808	XP_036619924.1
LOC118846010	XP_036610076.1
LOC118846075	XP_036610186.1
LOC118833523	XP_036596778.1
LOC118852205	XP_036617778.1
LOC118834618	XP_036597959.1
LOC118834618	XP_036597960.1
LOC118846206	
LOC118846435	XP_036610907.1
LOC118846492	
LOC118846551	
LOC118846621	
LOC118846800	
LOC118846905	
LOC118847009	
LOC118828385	
LOC118851241	
LOC118847115	
LOC118847219	
LOC118833711	
LOC118833713	
LOC118833714	XP_036596990.1
DGCR6L	XP_036597597.1
SCARF2	XP_036611711.1
KLHL22	XP_036598752.1
MED15	XP_036615826.1
LOC118834899	XP_036598228.1
LOC118834899	XP_036598227.1
SMPD4	XP_036593470.1
MZT2B	XP_036598236.1
LOC118848428	XP_036613203.1
SLC7A4	XP_036597664.1
PPIL2	XP_036597643.1
YPEL1	XP_036596779.1
MAPK1	XP_036611859.1
PPM1F	XP_036597232.1
PPM1F	XP_036597231.1
TOP3B	XP_036596948.1
LOC118832856	XP_036596137.1
LOC118832856	XP_036596130.1
LOC118847630	XP_036612116.1
SDF2L1	XP_036592499.1
YDJC	XP_036598270.1
UBE2L3	XP_036612636.1
LOC118848010	XP_036612623.1
HIC2	XP_036597459.1
TMEM191C	XP_036623842.1
PI4KA	XP_036614499.1
PI4KA	XP_036614487.1
PI4KA	XP_036614494.1
SERPIND1	XP_036614523.1
SNAP29	XP_036614556.1
CRKL	XP_036614546.1
AIFM3	XP_036614577.1
AIFM3	XP_036614585.1
LZTR1	XP_036614512.1
THAP7	XP_036614534.1
LOC118849714	XP_036614566.1
LRRC74B	XP_036603127.1
P2RX6	XP_036612238.1
LOC118834777	XP_036598096.1
LOC118834777	XP_036598097.1
RTN4R	XP_036612622.1
CCDC188	XP_036604697.1
CCDC188	XP_036605464.1
LOC118848069	XP_036612738.1
LOC118832819	XP_036596083.1
LOC118848147	XP_036612859.1
LOC118848216	XP_036612962.1
LOC118834015	XP_036597348.1
LOC118848302	XP_036613072.1
LOC118834014	XP_036597347.1
LOC118834977	XP_036598305.1
LOC118848523	XP_036613368.1
LOC118843782	XP_036607450.1
LOC118834797	XP_036598131.1
LOC118834797	XP_036598130.1
LOC118834797	XP_036598129.1
LOC118834797	XP_036598132.1
LOC118848726	XP_036613668.1
LOC118848818	XP_036613769.1
LOC118848900	XP_036613874.1
RANBP1	XP_036613727.1
RANBP1	XP_036613733.1
TRMT2A	XP_036613716.1
TRMT2A	XP_036613709.1
DGCR8	XP_036617836.1
DGCR8	XP_036617859.1
DGCR8	XP_036617852.1
DGCR8	XP_036617843.1
TANGO2	XP_036614228.1
ARVCF	XP_036622708.1
ARVCF	XP_036622714.1
COMT	XP_036597722.1
COMT	XP_036597725.1
COMT	XP_036597721.1
COMT	XP_036597723.1
TXNRD2	XP_036623641.1
TXNRD2	XP_036623650.1
TXNRD2	XP_036623658.1
GNB1L	XP_036606492.1
TBX1	XP_036597291.1
LOC118833436	XP_036596689.1
CLDN5	XP_036599974.1
CDC45	XP_036593214.1
UFD1	XP_036597302.1
UFD1	XP_036597303.1
C1H22orf39	XP_036613470.1
MRPL40	XP_036613457.1
LOC118848617	XP_036613483.1
LOC118848617	XP_036613491.1
CLTCL1	XP_036621434.1
CLTCL1	XP_036621426.1
SLC25A1	XP_036597458.1
LOC118849724	XP_036614612.1
LOC118840886	XP_036604150.1
GSC2	XP_036614732.1
ESS2	XP_036597717.1
ESS2	XP_036597718.1
TSSK2	XP_036597756.1
LOC118849939	XP_036614978.1
DGCR2	XP_036613678.1
DGCR2	XP_036613685.1
DGCR2	XP_036613693.1
DGCR2	XP_036613700.1
LOC118850006	XP_036615103.1
RSPH14	XP_036596920.1
GNAZ	XP_036596919.1
LOC118855542	XP_036621560.1
LOC118852984	XP_036618676.1
LOC118852984	XP_036618682.1
LOC118852984	XP_036618668.1
LOC118852984	XP_036618661.1
LOC118855500	XP_036621503.1
LOC118847401	XP_036611774.1
LOC118847401	XP_036611766.1
LOC118847401	XP_036611756.1
LOC118847401	XP_036611747.1
SLC5A1	XP_036593935.1
SLC5A1	XP_036593925.1
SLC5A1	XP_036593907.1
SLC5A1	XP_036593915.1
SLC5A1	XP_036593944.1
YWHAH	XP_036598094.1
ANHX	XP_036608696.1
DEPDC5	XP_036625037.1
DEPDC5	XP_036625029.1
PRR14L	XP_036609044.1
PISD	XP_036617172.1
PISD	XP_036617162.1
PISD	XP_036617178.1
PISD	XP_036617193.1
PISD	XP_036617185.1
SFI1	XP_036617204.1
EIF4ENIF1	XP_036596712.1
DRG1	XP_036604321.1
PATZ1	XP_036615194.1
PIK3IP1	XP_036590180.1
LIMK2	XP_036597254.1
LIMK2	XP_036597256.1
LIMK2	XP_036597255.1
RNF185	XP_036616438.1
RNF185	XP_036616448.1
RNF185	XP_036616435.1
RNF185	XP_036616444.1
PLA2G3	XP_036615544.1
INPP5J	XP_036592902.1
SELENOM	XP_036623679.1
SMTN	XP_036592456.1
SMTN	XP_036592451.1
SMTN	XP_036592462.1
MORC2	XP_036618773.1
MORC2	XP_036618783.1
LOC118834571	XP_036597915.1
OSBP2	XP_036617635.1
C1H5orf52	XP_036610556.1
DUSP18	XP_036610690.1
DUSP18	XP_036610783.1
SLC35E4	XP_036597340.1
TCN2	XP_036591645.1
PES1	XP_036619839.1
GAL3ST1	XP_036597910.1
LOC118834601	XP_036597942.1
LOC118858441	XP_036624869.1
LOC118858441	XP_036624862.1
LOC118858441	XP_036624874.1
LOC118834641	XP_036597977.1
LOC118833785	XP_036597079.1
LOC118850380	XP_036615668.1
MTFP1	XP_036594087.1
SEC14L2	XP_036612860.1
RNF215	XP_036612274.1
RNF215	XP_036612282.1
CCDC157	XP_036612294.1
SF3A1	XP_036612249.1
TBC1D10A	XP_036612262.1
CASTOR1	XP_036594075.1
OSM	XP_036607915.1
LIF	XP_036598084.1
HORMAD2	XP_036597274.1
LOC118858754	XP_036625265.1
MTMR3	XP_036613240.1
MTMR3	XP_036613256.1
MTMR3	XP_036613232.1
MTMR3	XP_036613247.1
ASCC2	XP_036596646.1
ASCC2	XP_036596647.1
ASCC2	XP_036596648.1
LOC118831410	XP_036594646.1
ZMAT5	XP_036624755.1
ZMAT5	XP_036624748.1
CABP7	XP_036595663.1
NF2	XP_036609588.1
NF2	XP_036609594.1
NF2	XP_036609603.1
NF2	XP_036609617.1
NF2	XP_036609610.1
NIPSNAP1	XP_036618433.1
THOC5	XP_036613559.1
THOC5	XP_036613566.1
NEFH	XP_036623597.1
NEFH	XP_036623606.1
AP1B1	XP_036615906.1
AP1B1	XP_036615922.1
AP1B1	XP_036615932.1
AP1B1	XP_036615914.1
RASL10A	XP_036591899.1
GAS2L1	XP_036591888.1
GAS2L1	XP_036591880.1
EWSR1	XP_036611267.1
EWSR1	XP_036611258.1
RHBDD3	XP_036597266.1
RHBDD3	XP_036597267.1
EMID1	XP_036597268.1
KREMEN1	XP_036598105.1
C1H22orf31	XP_036607856.1
C1H22orf31	XP_036607840.1
C1H22orf31	XP_036607849.1
ZNRF3	XP_036592220.1
XBP1	XP_036594127.1
CCDC117	XP_036598064.1
HSCB	XP_036596808.1
CHEK2	XP_036596806.1
TTC28	XP_036616293.1
PITPNB	XP_036621601.1
PITPNB	XP_036621598.1
MN1	XP_036597309.1
MN1	XP_036597310.1
LOC118850818	XP_036616392.1
CRYBA4	XP_036597926.1
CRYBA4	XP_036597927.1
CRYBB1	XP_036597688.1
TPST2	XP_036597482.1
TPST2	XP_036597483.1
TPST2	XP_036597484.1
TPST2	XP_036597485.1
TPST2	XP_036597486.1
TFIP11	XP_036606681.1
SRRD	XP_036606694.1
HPS4	XP_036596382.1
ASPHD2	XP_036606332.1
SEZ6L	XP_036616530.1
LOC118834088	XP_036597427.1
MYO18B	XP_036593601.1
GRK3	XP_036611246.1
CRYBB2	XP_036597295.1
CRYBB3	XP_036597296.1
KIAA1671	XP_036614396.1
KIAA1671	XP_036614404.1
KIAA1671	XP_036614418.1
KIAA1671	XP_036614411.1
TMEM211	XP_036596873.1
TMEM211	XP_036596874.1
SGSM1	XP_036596933.1
LOC118851246	XP_036616642.1
ANKRD13A	XP_036597888.1
GIT2	XP_036597893.1
GIT2	XP_036597891.1
GIT2	XP_036597889.1
GIT2	XP_036597892.1
GIT2	XP_036597894.1
GIT2	XP_036597895.1
GIT2	XP_036597890.1
LOC118834834	XP_036598170.1
LOC118833751	XP_036597039.1
LOC118834027	XP_036597362.1
LOC118840042	XP_036603445.1
TRPV4	XP_036596700.1
FAM222A	XP_036597413.1
MVK	XP_036617474.1
MVK	XP_036617482.1
MMAB	XP_036617492.1
MMAB	XP_036617499.1
UBE3B	XP_036597687.1
UBE3B	XP_036597686.1
UBE3B	XP_036597685.1
KCTD10	XP_036623831.1
KCTD10	XP_036623823.1
MYO1H	XP_036616945.1
FOXN4	XP_036600096.1
FOXN4	XP_036600093.1
ACACB	XP_036624023.1
UNG	XP_036597220.1
UNG	XP_036597228.1
ALKBH2	XP_036616605.1
ALKBH2	XP_036616609.1
ALKBH2	XP_036616601.1
USP30	XP_036616592.1
USP30	XP_036616595.1
LOC118851720	XP_036617167.1
DAO	XP_036596913.1
SSH1	XP_036594277.1
CORO1C	XP_036590838.1
SELPLG	XP_036597680.1
TMEM119	XP_036592038.1
ISCU	XP_036598261.1
SART3	XP_036617824.1
FICD	XP_036599797.1
CMKLR1	XP_036597180.1
WSCD2	XP_036601701.1
OASL	XP_036598304.1
LOC118833575	XP_036596845.1
HNF1A	XP_036621624.1
HNF1A	XP_036621632.1
SPPL3	XP_036597338.1
ACADS	XP_036592591.1
ACADS	XP_036592595.1
UNC119B	XP_036595650.1
MLEC	XP_036595662.1
CABP1	XP_036596934.1
CABP1	XP_036596935.1
POP5	XP_036610378.1
RNF10	XP_036610368.1
COQ5	XP_036597792.1
LOC118834453	XP_036597797.1
SRSF9	XP_036613073.1
GATC	XP_036613085.1
TRIAP1	XP_036613096.1
LOC118858053	XP_036624378.1
MSI1	XP_036621987.1
MSI1	XP_036621995.1
PLA2G1B	XP_036617283.1
SIRT4	XP_036606010.1
PXN	XP_036620991.1
PXN	XP_036620979.1
PXN	XP_036620985.1
RPLP0	XP_036605797.1
GCN1	XP_036613862.1
RAB35	XP_036598119.1
BICDL1	XP_036596721.1
BICDL1	XP_036596720.1
CIT	XP_036622851.1
CIT	XP_036622836.1
CIT	XP_036622843.1
PRKAB1	XP_036598282.1
PRKAB1	XP_036598281.1
TMEM233	XP_036598098.1
CCDC60	XP_036597613.1
HSPB8	XP_036597870.1
SRRM4	XP_036617388.1
SUDS3	XP_036616468.1
TAOK3	XP_036615547.1
TAOK3	XP_036615556.1
TAOK3	XP_036615565.1
PEBP1	XP_036597282.1
VSIG10	XP_036617391.1
VSIG10	XP_036617407.1
VSIG10	XP_036617385.1
VSIG10	XP_036617400.1
WSB2	XP_036612690.1
RFC5	XP_036612701.1
KSR2	XP_036604855.1
LOC118841540	XP_036604986.1
NOS1	XP_036596954.1
FBXO21	XP_036596953.1
TESC	XP_036596842.1
TESC	XP_036596843.1
TESC	XP_036596844.1
FBXW8	XP_036623533.1
HRK	XP_036607871.1
RNFT2	XP_036623881.1
SPRING1	XP_036596981.1
LOC118852047	XP_036617612.1
MED13L	XP_036611833.1
MED13L	XP_036611847.1
MED13L	XP_036611840.1
LOC118828443	XP_036590938.1
LOC118834608	XP_036597952.1
TBX3	XP_036592489.1
TBX5	XP_036606609.1
LOC118834629	XP_036597971.1
LOC118852839	XP_036618467.1
LOC118834632	XP_036597972.1
LOC118834633	XP_036597973.1
LOC118853044	XP_036618825.1
LOC118853095	XP_036618948.1
LOC118834018	XP_036597353.1
RBM19	XP_036615051.1
RBM19	XP_036615069.1
RBM19	XP_036615059.1
LHX5	XP_036597922.1
SDSL	XP_036607206.1
SDSL	XP_036607214.1
SDS	XP_036596820.1
SDS	XP_036596822.1
SDS	XP_036596821.1
PLBD2	XP_036616952.1
SLC8B1	XP_036598250.1
TPCN1	XP_036617904.1
TPCN1	XP_036617887.1
TPCN1	XP_036617881.1
TPCN1	XP_036617898.1
TPCN1	XP_036617892.1
IQCD	XP_036596599.1
IQCD	XP_036596604.1
RITA1	XP_036625160.1
DDX54	XP_036625149.1
CFAP73	XP_036619072.1
RASAL1	XP_036619166.1
DTX1	XP_036597871.1
DTX1	XP_036597872.1
LOC118853324	XP_036619265.1
LOC118853399	XP_036619392.1
LOC118848195	XP_036612908.1
LOC118848195	XP_036612916.1
LOC118848195	XP_036612899.1
LOC118848211	XP_036612928.1
LOC118853468	XP_036619508.1
RPH3A	XP_036597534.1
RPH3A	XP_036597533.1
PTPN11	XP_036608658.1
PTPN11	XP_036608652.1
RPL6	XP_036598102.1
HECTD4	XP_036597184.1
LOC118853556	XP_036619586.1
TRAFD1	XP_036598216.1
TRAFD1	XP_036598215.1
NAA25	XP_036597751.1
ERP29	XP_036598223.1
TMEM116	XP_036596762.1
TMEM116	XP_036596763.1
LOC118844731	XP_036608602.1
LOC118853638	XP_036619742.1
LOC118853729	XP_036619840.1
LOC118844550	XP_036608352.1
MAPKAPK5	XP_036616561.1
MAPKAPK5	XP_036616552.1
ALDH2	XP_036613363.1
ACAD10	XP_036595021.1
ACAD10	XP_036595031.1
LOC118855398	XP_036621391.1
ATXN2	XP_036610778.1
ATXN2	XP_036610795.1
ATXN2	XP_036610805.1
ATXN2	XP_036610747.1
ATXN2	XP_036610727.1
ATXN2	XP_036610736.1
ATXN2	XP_036610719.1
ATXN2	XP_036610710.1
ATXN2	XP_036610758.1
ATXN2	XP_036610768.1
ATXN2	XP_036610786.1
ATXN2	XP_036610812.1
ATXN2	XP_036610819.1
SH2B3	XP_036592766.1
SH2B3	XP_036592774.1
SH2B3	XP_036592758.1
PHETA1	XP_036602429.1
CUX2	XP_036620065.1
LOC118856661	XP_036622975.1
CCDC63	XP_036620184.1
PPP1CC	XP_036625254.1
LOC118843070	XP_036606365.1
HVCN1	XP_036597521.1
HVCN1	XP_036597522.1
HVCN1	XP_036597523.1
TCTN1	XP_036620296.1
LOC118828545	XP_036591126.1
PPTC7	XP_036616975.1
RAD9B	XP_036616105.1
VPS29	XP_036616141.1
VPS29	XP_036616150.1
FAM216A	XP_036616130.1
LOC118850696	XP_036616178.1
GPN3	XP_036616118.1
ARPC3	XP_036616164.1
ANAPC7	XP_036591987.1
ANAPC7	XP_036591996.1
ATP2A2	XP_036596583.1
ATP2A2	XP_036596577.1
IFT81	XP_036620270.1
IFT81	XP_036620262.1
IFT81	XP_036620278.1
LOC118853684	XP_036619769.1
LOC118854139	XP_036620403.1
P2RX4	XP_036611130.1
P2RX4	XP_036611121.1
P2RX4	XP_036611104.1
P2RX4	XP_036611112.1
CAMKK2	XP_036610676.1
CAMKK2	XP_036610684.1
CAMKK2	XP_036610666.1
CAMKK2	XP_036610658.1
ANAPC5	XP_036597625.1
RNF34	XP_036596997.1
KDM2B	XP_036597874.1
KDM2B	XP_036597873.1
KDM2B	XP_036597876.1
KDM2B	XP_036597875.1
ORAI1	XP_036596956.1
MORN3	XP_036596957.1
MORN3	XP_036596958.1
TMEM120B	XP_036620607.1
RHOF	XP_036597010.1
SETD1B	XP_036621661.1
SETD1B	XP_036621671.1
HPD	XP_036614818.1
PSMD9	XP_036593827.1
PSMD9	XP_036593838.1
CFAP251	XP_036624208.1
BCL7A	XP_036595242.1
BCL7A	XP_036595235.1
LOC118853395	XP_036619340.1
LRRC43	XP_036598106.1
B3GNT4	XP_036596945.1
DIABLO	XP_036596946.1
VPS33A	XP_036621360.1
CLIP1	XP_036608112.1
CLIP1	XP_036608118.1
CLIP1	XP_036608108.1
CLIP1	XP_036608071.1
CLIP1	XP_036608064.1
CLIP1	XP_036608100.1
CLIP1	XP_036608094.1
CLIP1	XP_036608086.1
CLIP1	XP_036608081.1
CLIP1	XP_036608048.1
CLIP1	XP_036608041.1
CLIP1	XP_036608035.1
CLIP1	XP_036608031.1
CLIP1	XP_036608057.1
ZCCHC8	XP_036597305.1
RSRC2	XP_036617228.1
RSRC2	XP_036617235.1
RSRC2	XP_036617243.1
RSRC2	XP_036617252.1
KNTC1	XP_036621104.1
HCAR2	XP_036595897.1
HCAR1	XP_036597877.1
DENR	XP_036597983.1
DENR	XP_036597984.1
DENR	XP_036597985.1
CCDC62	XP_036592445.1
HIP1R	XP_036621043.1
VPS37B	XP_036620808.1
ABCB9	XP_036601651.1
ABCB9	XP_036601659.1
LOC118854719	XP_036620915.1
OGFOD2	XP_036597918.1
ARL6IP4	XP_036598025.1
ARL6IP4	XP_036598024.1
PITPNM2	XP_036616234.1
PITPNM2	XP_036616268.1
PITPNM2	XP_036616259.1
PITPNM2	XP_036616244.1
PITPNM2	XP_036616251.1
PITPNM2	XP_036616224.1
PITPNM2	XP_036616215.1
MPHOSPH9	XP_036597422.1
C1H12orf65	XP_036597423.1
CDK2AP1	XP_036597425.1
CDK2AP1	XP_036597424.1
CDK2AP1	XP_036597426.1
SBNO1	XP_036598192.1
SBNO1	XP_036598191.1
SBNO1	XP_036598190.1
SBNO1	XP_036598193.1
LOC118854827	XP_036620958.1
KMT5A	XP_036616769.1
KMT5A	XP_036616776.1
KMT5A	XP_036616793.1
KMT5A	XP_036616784.1
RILPL2	XP_036598089.1
SNRNP35	XP_036592650.1
RILPL1	XP_036598233.1
RILPL1	XP_036598232.1
RILPL1	XP_036598234.1
RILPL1	XP_036598231.1
TMED2	XP_036618409.1
TMED2	XP_036618401.1
DDX55	XP_036618706.1
EIF2B1	XP_036618719.1
GTF2H3	XP_036597044.1
GTF2H3	XP_036597045.1
TCTN2	XP_036597678.1
ATP6V0A2	XP_036609429.1
DNAH10	XP_036621026.1
CCDC92	XP_036592111.1
CCDC92	XP_036592105.1
RFLNA	XP_036597434.1
RFLNA	XP_036597435.1
NCOR2	XP_036609280.1
NCOR2	XP_036609240.1
NCOR2	XP_036609234.1
NCOR2	XP_036609248.1
NCOR2	XP_036609273.1
NCOR2	XP_036609257.1
NCOR2	XP_036609228.1
NCOR2	XP_036609266.1
LOC118834560	XP_036597907.1
SCARB1	XP_036615391.1
SCARB1	XP_036615403.1
SCARB1	XP_036615398.1
UBC	XP_036610070.1
DHX37	XP_036609854.1
LOC118845879	XP_036609869.1
AACS	XP_036596665.1
AACS	XP_036596666.1
LOC118855041	XP_036621095.1
TMEM132B	XP_036605600.1
LOC118855151	XP_036621171.1
TMEM132C	XP_036590103.1
SLC15A4	XP_036597720.1
GLT1D1	XP_036600694.1
TMEM132D	XP_036596649.1
FZD10	XP_036597818.1
LOC118832025	XP_036595406.1
LOC118849781	XP_036614647.1
RIMBP2	XP_036614708.1
RIMBP2	XP_036614676.1
RIMBP2	XP_036614668.1
RIMBP2	XP_036614659.1
RIMBP2	XP_036614698.1
RIMBP2	XP_036614716.1
RIMBP2	XP_036614687.1
LOC118855256	XP_036621263.1
STX2	XP_036595115.1
RAN	XP_036619199.1
RAN	XP_036619191.1
LOC118855352	XP_036621359.1
ADGRD1	XP_036598220.1
LOC118834276	XP_036597630.1
LOC118834364	XP_036597719.1
LOC118839358	XP_036602744.1
LOC118839358	XP_036602813.1
LOC118839358	XP_036602879.1
MMP17	XP_036621600.1
ULK1	XP_036598905.1
ULK1	XP_036598914.1
PUS1	XP_036604703.1
EP400	XP_036609481.1
LOC118845611	XP_036609496.1
DDX51	XP_036609507.1
GALNT9	XP_036623810.1
FBRSL1	XP_036611548.1
FBRSL1	XP_036611550.1
FBRSL1	XP_036611530.1
FBRSL1	XP_036611544.1
FBRSL1	XP_036611553.1
FBRSL1	XP_036611537.1
FBRSL1	XP_036611555.1
CHFR	XP_036615998.1
GOLGA3	XP_036609464.1
GOLGA3	XP_036609471.1
ANKLE2	XP_036620623.1
ANKLE2	XP_036620629.1
PGAM5	XP_036597829.1
PGAM5	XP_036597828.1
PXMP2	XP_036609440.1
POLE	XP_036609456.1
P2RX2	XP_036596496.1
P2RX2	XP_036596488.1
P2RX2	XP_036596485.1
LRCOL1	XP_036621895.1
LOC118834907	XP_036598238.1
LOC118834907	XP_036598241.1
LOC118834907	XP_036598239.1
LOC118834907	XP_036598240.1
LOC118834907	XP_036598237.1
ARHGEF18	XP_036612093.1
ARHGEF18	XP_036612123.1
ARHGEF18	XP_036612100.1
ARHGEF18	XP_036612108.1
ARHGEF18	XP_036612117.1
INSR	XP_036614059.1
INSR	XP_036614054.1
LOC118850285	XP_036615470.1
PEX11G	XP_036597804.1
TEX45	XP_036597803.1
ZNF358	XP_036621999.1
MCOLN1	XP_036597076.1
PNPLA6	XP_036617086.1
PNPLA6	XP_036617094.1
PNPLA6	XP_036617109.1
PNPLA6	XP_036617101.1
CAMSAP3	XP_036596710.1
XAB2	XP_036597139.1
LOC118851137	XP_036616565.1
PCP2	XP_036616570.1
LOC118851159	XP_036616578.1
LOC118851159	XP_036616583.1
MCEMP1	XP_036609679.1
TRAPPC5	XP_036609972.1
FCER2	XP_036609980.1
LOC118833865	XP_036597175.1
LOC118833865	XP_036597177.1
LOC118833865	XP_036597176.1
CLEC4G	XP_036594983.1
CLEC4G	XP_036594999.1
CLEC4G	XP_036594991.1
EVI5L	XP_036614244.1
EVI5L	XP_036614253.1
EVI5L	XP_036614267.1
EVI5L	XP_036614259.1
EVI5L	XP_036614272.1
LOC118856172	XP_036622231.1
LRRC8E	XP_036598168.1
MAP2K7	XP_036597978.1
MAP2K7	XP_036597979.1
MAP2K7	XP_036597980.1
MAP2K7	XP_036597981.1
TGFBR3L	XP_036622353.1
ACTL9	XP_036606431.1
NFILZ	XP_036622479.1
LOC118856900	XP_036623355.1
LOC118856900	XP_036623346.1
LOC118856376	XP_036622585.1
ADAMTS10	XP_036601370.1
MYO1F	XP_036597218.1
MYO1F	XP_036597219.1
ZNF414	XP_036595664.1
LOC118832447	XP_036595665.1
